== 2026-09-03T22:50:16Z cleaning results of earlier schemas
== 2026-09-03T22:50:16Z diff (workers=4, deadline=270 min)
[22:50:16] 773 pairs total, 773 to do, 4 workers, big pair > 120 MB download, deadline 270 min
[22:50:16] [1/773] libreoffice@26.2.4.2..26.2.5.2 (1407 MB dl, 0s, 78 MB rss) ok
[23:33:33] [204/764] libzstd@1.5.4+dfsg2..1.5.5+dfsg2 (4 MB dl, 4s, 110 MB rss) ok
[23:33:37] [205/764] libzstd@1.4.10+dfsg..1.5.2+dfsg (4 MB dl, 4s, 110 MB rss) ok
[23:33:37] [206/764] libzstd@1.5.2+dfsg2..1.5.4+dfsg2 (4 MB dl, 4s, 109 MB rss) ok
[23:33:39] [207/764] libzstd@1.5.2+dfsg..1.5.2+dfsg2 (4 MB dl, 2s, 92 MB rss) ok
[23:33:40] [208/764] libodfgen@0.1.6..0.1.7 (4 MB dl, 11s, 406 MB rss) ok
[23:33:43] [209/764] jemalloc@5.2.1..5.3.0 (4 MB dl, 5s, 125 MB rss) ok
[23:33:46] [210/764] librevenge@0.0.3..0.0.4 (4 MB dl, 9s, 186 MB rss) ok
[23:33:50] [211/764] freetype@2.14.1+dfsg..2.14.2+dfsg (4 MB dl, 10s, 118 MB rss) ok
[23:33:52] [212/764] freetype@2.13.3+dfsg..2.14.1+dfsg (4 MB dl, 6s, 118 MB rss) ok
[23:33:52] [213/764] freetype@2.14.2+dfsg..2.14.3+dfsg (4 MB dl, 9s, 118 MB rss) ok
[23:33:58] [214/764] p11-kit@0.25.2..0.25.3 (4 MB dl, 5s, 123 MB rss) ok
[23:33:58] [215/764] p11-kit@0.25.3..0.25.5 (4 MB dl, 8s, 116 MB rss) ok
[23:34:01] [216/764] p11-kit@0.25.0..0.25.1 (4 MB dl, 9s, 123 MB rss) ok
[23:34:01] [217/764] p11-kit@0.25.1..0.25.2 (4 MB dl, 4s, 105 MB rss) ok
[23:34:05] [218/764] p11-kit@0.26.4..0.26.5 (4 MB dl, 8s, 122 MB rss) ok
[23:34:06] [219/764] p11-kit@0.26.2..0.26.4 (4 MB dl, 5s, 127 MB rss) ok
[23:34:08] [220/764] brotli@1.0.5..1.0.6 (4 MB dl, 6s, 100 MB rss) ok
[23:34:17] [221/764] hunspell@1.7.2+really1.7.2..1.7.3 (4 MB dl, 12s, 207 MB rss) ok
[23:34:18] [222/764] hunspell@1.7.3..1.7.3+really1.7.2 (4 MB dl, 12s, 206 MB rss) ok
[23:34:20] [223/764] hunspell@1.7.3+really1.7.2..1.7.3+really1.7.3 (4 MB dl, 13s, 207 MB rss) ok
[23:34:23] [224/764] freetype@2.13.2+dfsg..2.13.3+dfsg (4 MB dl, 6s, 117 MB rss) ok
